OTU	16Sgene	genome	numberGenes	totalGeneLength
Consensus150	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus151	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus152	ref|NC_015160|:2531255-2532766|16S	Odoribacter_splanchnicus_DSM_20712_uid63397	74	23099
Consensus153	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus154	ref|NC_022111|:1520371-1521887|16S	Prevotella_oral_taxon_299_F0039_uid45899	61	21878
Consensus155	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus156	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus157	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus158	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus159	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus16	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus160	ref|NC_021015|:159-1677|16S	_Ruminococcus__torques_uid197166	50	8408
Consensus161	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus162	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus163	ref|NC_010001|:4184940-4186462|16S	Clostridium_phytofermentans_ISDg_uid58519	89	42061
Consensus164	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus165	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus166	ref|NC_012778|:2029863-2031381|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus167	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus168	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus169	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus17	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus170	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus171	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus172	ref|NC_021354|:1747947-1749490|16S	Erysipelothrix_rhusiopathiae_SY1027_uid206518	63	17846
Consensus173	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus174	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus175	ref|NC_021014|:2702614-2706143|16S	Ruminococcus_uid197156	53	13115
Consensus176	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus177	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus178	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus179	ref|NC_013520|:103635-105185|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus18	ref|NC_013520|:722770-724320|16S	Veillonella_parvula_DSM_2008_uid41927	64	23068
Consensus180	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus181	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus182	ref|NC_021019|:134513-136043|16S	Eubacterium_cylindroides_T2_87_uid197177	45	8149
Consensus183	ref|NC_019682|:6821504-6822983|16S	Calothrix_PCC_7507_uid182930	84	19447
Consensus184	ref|NC_012778|:2029863-2031381|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus185	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus186	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus187	ref|NC_006347|:5195504-5197040|16S	Bacteroides_fragilis_YCH46_uid58195	92	32840
Consensus188	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus189	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus19	ref|NC_012778|:2029863-2031381|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus190	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus191	ref|NC_016627|:4884776-4886142|16S	Clostridium_clariflavum_DSM_19732_uid82345	90	34255
Consensus192	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus193	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus194	ref|NC_022582|:327975-329522|16S	Streptococcus_I_P16_uid224252	95	20254
Consensus195	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus196	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus197	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus198	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus199	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus2	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus20	ref|NC_021281|:2155685-2157191|16S	Fusobacterium_4_8_uid205051	61	26223
Consensus200	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus201	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus202	ref|NC_014828|:2984437-2985928|16S	Ethanoligenens_harbinense_YUAN_3_uid46255	75	19151
Consensus203	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus204	ref|NC_021018|:3070260-3072809|16S	Coprococcus_ART55_1_uid197176	34	8292
Consensus205	ref|NC_015160|:2531255-2532766|16S	Odoribacter_splanchnicus_DSM_20712_uid63397	74	23099
Consensus206	ref|NC_013194|:4569710-4571240|16S	Candidatus_Accumulibacter_phosphatis_clade_IIA_UW_1_uid59207	58	13494
Consensus207	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus208	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus209	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus21	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus210	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus211	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus212	ref|NC_021039|:65921-67414|16S	Ruminococcus_champanellensis_18P13_uid197169	48	8015
Consensus213	ref|NC_015968|:4749056-4750583|16S	Enterobacter_asburiae_LF7a_uid72793	109	39472
Consensus214	ref|NC_021281|:2155685-2157191|16S	Fusobacterium_4_8_uid205051	61	26223
Consensus215	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus216	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus217	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus218	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus219	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus22	ref|NC_015968|:4749056-4750583|16S	Enterobacter_asburiae_LF7a_uid72793	109	39472
Consensus220	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus221	ref|NC_016791|:4601376-4602779|16S	Clostridium_BNL1100_uid84307	88	42333
Consensus222	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus223	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus224	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus225	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus226	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus227	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus228	ref|NC_020516|:1820861-1822382|16S	Azoarcus_KH32C_uid193704	79	27625
Consensus229	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus23	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus230	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus231	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus232	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus233	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus234	ref|NC_021018|:3070260-3072809|16S	Coprococcus_ART55_1_uid197176	34	8292
Consensus235	ref|NC_022124|:39613-41129|16S	Prevotella_oral_taxon_299_F0039_uid45899	61	21878
Consensus236	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus237	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus238	ref|NC_007606|:3722468-3724009|16S	Shigella_dysenteriae_Sd197_uid58213	107	38718
Consensus239	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus24	ref|NC_018011|:2181216-2182629|16S	Alistipes_finegoldii_DSM_17242_uid168180	68	13954
Consensus240	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus241	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus242	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus243	ref|NC_007606|:3722468-3724009|16S	Shigella_dysenteriae_Sd197_uid58213	107	38718
Consensus244	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus245	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus246	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus247	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus248	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus249	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus25	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus250	ref|NC_021040|:348381-351031|16S	Roseburia_intestinalis_uid197164	56	11339
Consensus251	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus252	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus253	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus254	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus255	ref|NC_015437|:2175435-2176977|16S	Selenomonas_sputigena_ATCC_35185_uid55329	68	23446
Consensus256	ref|NC_014323|:5431893-5433419|16S	Herbaspirillum_seropedicae_SmR1_uid50427	64	16689
Consensus257	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus258	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus259	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus26	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus260	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus261	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus262	ref|NC_019968|:947634-949058|16S	Prevotella_dentalis_DSM_3688_uid184818	86	27865
Consensus263	ref|NC_011898|:4057389-4057468,4055812-4057250|16S	Clostridium_cellulolyticum_H10_uid58709	88	41569
Consensus264	ref|NC_012778|:2029863-2031381|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus265	ref|NC_013315|:3947905-3949529|16S	Clostridium_difficile_CD196_uid41017	111	53056
Consensus266	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus267	ref|NC_016048|:1864519-1866052|16S	Oscillibacter_valericigenes_Sjm18_20_uid73895	72	20906
Consensus268	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus269	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus27	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus270	ref|NC_015311|:2480776-2482250|16S	Prevotella_denticola_F0289_uid65091	67	22859
Consensus271	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus272	ref|NC_015873|:2473031-2474582|16S-rRNA|	Megasphaera_elsdenii_DSM_20460_uid71135	85	36872
Consensus273	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus274	ref|NC_022239|:1707688-1709231|16S	Streptococcus_anginosus_C238_uid218004	70	22649
Consensus275	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus276	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus277	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus278	ref|NC_006347|:5195504-5197040|16S	Bacteroides_fragilis_YCH46_uid58195	92	32840
Consensus279	ref|NC_011883|:2041424-2042961|16S	Desulfovibrio_desulfuricans_ATCC_27774_uid59213	68	19152
Consensus28	ref|NC_012778|:872242-873760|16S	Eubacterium_eligens_ATCC_27750_uid59171	65	26868
Consensus280	ref|NC_022111|:1520371-1521887|16S	Prevotella_oral_taxon_299_F0039_uid45899	61	21878
Consensus281	ref|NC_021013|:297741-300852|16S	Ruminococcus_bromii_uid197158	41	9127
Consensus282	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus283	ref|NC_015977|:3095887-3097421|16S	Roseburia_hominis_A2_183_uid73419	70	22540
Consensus284	ref|NC_014376|:3681375-3682893|16S	Clostridium_saccharolyticum_WM1_uid51419	90	33365
Consensus285	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus286	ref|NC_021016|:44196-45716|16S	butyrate_producing_bacterium_SSC_2_uid197181	55	8707
Consensus287	ref|NC_021043|:2595678-2597174|16S	Eubacterium_siraeum_V10Sc8a_uid197178	43	7914
Consensus288	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus289	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus29	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus290	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus291	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus292	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus293	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus294	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus295	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus296	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus297	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus298	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus299	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus3	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus30	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus300	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus301	ref|NC_021022|:3224206-3225524|16S	_Ruminococcus__obeum_uid197165	55	5797
Consensus302	ref|NC_021047|:235702-238322|16S	Clostridium_cf__saccharolyticum_K10_uid197201	51	9209
Consensus303	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus304	ref|NC_017563|:72623-74177|16S	Streptococcus_thermophilus_ND03_uid162015	71	27113
Consensus305	ref|NC_022124|:39613-41129|16S	Prevotella_oral_taxon_299_F0039_uid45899	61	21878
Consensus306	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus307	ref|NC_021020|:589522-591540|16S	Faecalibacterium_prausnitzii_uid197157	70	10418
Consensus308	ref|NC_014933|:3766053-3767565|16S	Bacteroides_helcogenes_P_36_108_uid62135	83	28010
Consensus309	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus31	ref|NC_015052|:2303109-2304638|16S	Bifidobacterium_longum_infantis_157F_uid62693	71	23279
Consensus310	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus311	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus312	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus313	ref|NC_009615|:4787729-4789225|16S	Parabacteroides_distasonis_ATCC_8503_uid58301	104	37085
Consensus314	ref|NC_011751|:4697139-4698680|ribosomal	Escherichia_coli_UMN026_uid62981	194	51046
Consensus315	ref|NC_004663|:4983424-4984906|16S	Bacteroides_thetaiotaomicron_VPI_5482_uid62913	86	26205
Consensus316	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus317	ref|NC_021044|:489815-491335|16S	Eubacterium_rectale_uid197162	55	8680
Consensus318	ref|NC_015164|:4225341-4226859|16S	Bacteroides_salanitronis_DSM_18170_uid63269	101	33719
Consensus319	ref|NC_009328|:1312223-1313773|16S	Geobacillus_thermodenitrificans_NG80_2_uid58829	117	52636
Consensus32	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus320	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus321	ref|NC_006347|:5195504-5197040|16S	Bacteroides_fragilis_YCH46_uid58195	92	32840
Consensus322	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
Consensus323	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus324	ref|NC_017068|:2872430-2872509,2870852-2872338|16S	Selenomonas_ruminantium_lactilytica_TAM6421_uid157247	97	38935
Consensus325	ref|NC_009614|:4743140-4744649|16S	Bacteroides_vulgatus_ATCC_8482_uid58253	106	37764
Consensus326	ref|NC_016077|:391435-392923|16S	Acidaminococcus_intestini_RyC_MR95_uid74445	61	15538
Consensus327	ref|NC_014371|:962840-964317|16S	Prevotella_melaninogenica_ATCC_25845_uid51377	66	22498
